name,rating,genre,year,director,writer,star,country,company,runtime
The Private Eyes,PG,Comedy,1980,Lang Elliott,Tim Conway,Tim Conway,United States,Tri Star Productions,91
When Time Ran Out...,PG,Action,1980,James Goldstone,Gordon Thomas,Paul Newman,United States,International Cinema,121
Oh Heavenly Dog,PG,Comedy,1980,Joe Camp,Rod Browning,Chevy Chase,United States,Mulberry Square Productions,103
The Octagon,R,Action,1980,Eric Karson,Leigh Chapman,Chuck Norris,United States,American Cinema Productions,103
Hangar 18,PG,Sci-Fi,1980,James L. Conway,Ken Pettus,Darren McGavin,United States,Sunn Classic Pictures,97
Herbie Goes Bananas,G,Adventure,1980,Vincent McEveety,Don Tait,Charles Martin Smith,United States,Walt Disney Productions,100
The Competition,PG,Drama,1980,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,Rastar Films,123
It's My Turn,R,Comedy,1980,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,Rastar Films,91
Honeysuckle Rose,PG,Drama,1980,Jerry Schatzberg,G�sta Stevens,Willie Nelson,United States,Major Studio Partners,119
Resurrection,PG,Drama,1980,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,Universal Pictures,103
Fatso,PG,Comedy,1980,Anne Bancroft,Anne Bancroft,Dom DeLuise,United States,Brooksfilms,93
Moscow Does Not Believe in Tears,PG,Comedy,1980,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Soviet Union,Mosfilm,150
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,Piers Haggard,Rudy Dochtermann,Peter Sellers,United States,Braun Entertainment Group,100
Serial,R,Comedy,1980,Bill Persky,Cyra McFadden,Martin Mull,United States,Paramount Pictures,86
Hero at Large,PG,Comedy,1980,Martin Davidson,AJ Carothers,John Ritter,United States,Kings Road Entertainment,98
Wholly Moses!,PG,Comedy,1980,Gary Weis,Guy Thomas,Dudley Moore,United States,Columbia Pictures,103
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,Bill Melendez,Charles M. Schulz,Scott Beach,United States,Lee Mendelson Film Productions,75
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,Marty Feldman,Marty Feldman,Marty Feldman,United States,Universal Pictures,97
Roadie,PG,Comedy,1980,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,Alive Enterprises,106
Just Tell Me What You Want,R,Comedy,1980,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,Warner Bros.,112
The Last Flight of Noah's Ark,G,Adventure,1980,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,Walt Disney Productions,97
Little Miss Marker,PG,Comedy,1980,Walter Bernstein,Damon Runyon,Walter Matthau,United States,Universal Pictures,103
Willie & Phil,R,Comedy,1980,Paul Mazursky,Jean Gruault,Michael Ontkean,United States,Twentieth Century Fox,115
Babylon,"
",Drama,1980,Franco Rosso,Franco Rosso,David N. Haynes,United Kingdom,Diversity Music,95
Windwalker,PG,Adventure,1980,Kieth Merrill,Ray Goldrup,Trevor Howard,United States,Santa Fe International,108
Phobia,R,Drama,1980,John Huston,Gary Sherman,Paul Michael Glaser,Canada,Borough Park Productions,94
Windows,R,Drama,1980,Gordon Willis,Barry Siegel,Talia Shire,United States,Mike Lobell Productions,96
Loving Couples,PG,Comedy,1980,Jack Smight,Martin Donovan,Shirley MacLaine,United States,Time Life Films,97
The King and the Mockingbird,Not Rated,Animation,1980,Paul Grimault,Hans Christian Andersen,Jean Martin,France,Les Films Paul Grimault,83
"Oh, God! Book II",PG,Comedy,1980,Gilbert Cates,Josh Greenfeld,George Burns,United States,Warner Bros.,94
"Those Lips, Those Eyes",R,Comedy,1980,Michael Pressman,David Shaber,Frank Langella,United States,Herb Jaffe,105
La Cage aux Folles II,R,Comedy,1980,�douard Molinaro,Jean Poiret,Michel Serrault,France,Da.Ma. Cinematografica,102
The Gong Show Movie,R,Comedy,1980,Chuck Barris,Chuck Barris,Chuck Barris,United States,Chuck Barris Productions,89
Gilda Live,R,Comedy,1980,Mike Nichols,Anne Beatts,Gilda Radner,United States,Broadway Productions,96
Why Would I Lie?,PG,Comedy,1980,Larry Peerce,Hollis Hodges,Treat Williams,United States,Metro-Goldwyn-Mayer (MGM),105
First Family,R,Comedy,1980,Buck Henry,Buck Henry,Bob Newhart,United States,F.F. Associates,97
Mantis Fist Fighter,"
",Action,1980,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,Hong Kong,East Asia Film Company,89
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,Paramount Pictures,115
Body Heat,R,Crime,1981,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,The Ladd Company,113
An American Werewolf in London,R,Comedy,1981,John Landis,John Landis,David Naughton,United Kingdom,Polygram Pictures,97
Escape from New York,R,Action,1981,John Carpenter,John Carpenter,Kurt Russell,United States,AVCO Embassy Pictures,99
